turnoverNumber,buyTurnoverNumber,sellTurnoverNumber,sellQty,buyQty,buyVolUsd,sellVolUsd,volUsd
253.0,18.0,235.0,0,0,35346.91399,2934708.24887993,2970055.16286993
13.0,11.0,2.0,0,0,41139.65595,30456.5088,71596.16475
19.0,16.0,3.0,0,0,86183.26183,1580.61987,87763.8817
5.0,2.0,3.0,0,0,1895.51436,242.53535,2138.04971
62.0,62.0,0.0,0,0,492990.21292,0.0,492990.21292
2.0,1.0,1.0,0,0,999.3225,72.2108,1071.5333
,,,0,0,,,
81.0,73.0,8.0,0,0,444186.33774,25530.68465,469717.02239
38.0,4.0,34.0,0,0,6783.8224,207060.79827,213844.62067
,,,0,0,,,
,,,0,0,,,
19.0,5.0,14.0,0,0,9616.68073,25459.06463,35075.74536
22.0,17.0,5.0,0,0,33858.60255,8905.16282,42763.76537
95.0,11.0,84.0,0,0,79787.54494,639125.17251056,718912.71745056
51.0,2.0,49.0,0,0,539.347,1423679.10676792,1424218.45376792
97.0,32.0,65.0,0,0,480697.84026,712444.57776,1193142.41802
15.0,14.0,1.0,0,0,30854.31318,2698.11795,33552.43113
8.0,6.0,2.0,0,0,31000.35975,905.89409,31906.25384
76.0,73.0,3.0,0,0,449189.19543,2234.36118,451423.55661
67.0,6.0,61.0,0,0,1901.28662,658047.1281332,659948.4147532
,,,0,0,,,
60.0,20.0,40.0,0,0,90773.12521,261906.92571,352680.05092
121.0,7.0,114.0,0,0,2866.75759,973904.46722894,976771.22481894
55.0,54.0,1.0,0,0,380889.84164,5.40957,380895.25121
8.0,4.0,4.0,0,0,33463.72005,16782.7127124,50246.4327624
44.0,35.0,9.0,0,0,196093.05078447,43745.72935,239838.78013447
69.0,65.0,4.0,0,0,1270741.92183,4938.9368,1275680.85863
48.0,47.0,1.0,0,0,396930.20016,1.91902,396932.11918
28.0,1.0,27.0,0,0,5.43852,278045.05671996,278050.49523996
10.0,10.0,0.0,0,0,64213.91749,0.0,64213.91749
16.0,15.0,1.0,0,0,33899.35128,163.1691,34062.52038
123.0,119.0,4.0,0,0,569919.96508464,3390.78746,573310.75254464
17.0,0.0,17.0,0,0,0.0,139169.24032,139169.24032
8.0,0.0,8.0,0,0,0.0,39564.2772,39564.2772
11.0,1.0,10.0,0,0,186.40219,27798.39229528,27984.79448528
2.0,0.0,2.0,0,0,0.0,974.98892,974.98892
72.0,0.0,72.0,0,0,0.0,375117.56042,375117.56042
31.0,4.0,27.0,0,0,3237.29388,129082.28718,132319.58106
28.0,23.0,5.0,0,0,187351.68399,22462.82288,209814.50687
3.0,1.0,2.0,0,0,27091.2,1820.06325,28911.26325
3.0,3.0,0.0,0,0,3763.1425,0.0,3763.1425
89.0,1.0,88.0,0,0,142.59816,320689.34671025,320831.94487025
7.0,6.0,1.0,0,0,159809.0643,5278.1695,165087.2338
124.0,116.0,8.0,0,0,1388513.9025,57878.64481,1446392.54731
227.0,107.0,120.0,0,0,922572.298085,1808106.7881576,2730679.0862426
189.0,21.0,168.0,0,0,163799.65249,1818495.56728999,1982295.21977999
26.0,15.0,11.0,0,0,82696.81214,7308.35782,90005.16996
52.0,47.0,5.0,0,0,127469.98112,2975.91897,130445.90009
92.0,81.0,11.0,0,0,1247499.70997,23123.34365,1270623.05362
364.0,315.0,49.0,0,0,3268817.69390755,1448664.66427,4717482.35817755
306.0,259.0,47.0,0,0,4682449.56960024,204897.45567,4887347.02527024
